INDEX:5031:<DateTimeISO>,IBM_Open:5031:<double>,IBM_High:5031:<double>,IBM_Low:5031:<double>,IBM_Close:5031:<double>,IBM_Adj_Close:5031:<double>,IBM_Volume:5031:<long>
2000-11-01,98.437500,99.875000,97.250000,98.562500,62.795776,7466200
2000-11-02,99.000000,102.312500,98.500000,101.937500,64.946083,7445100
2000-11-03,102.500000,102.625000,99.375000,100.125000,63.791306,5848500
2000-11-06,99.875000,102.375000,99.437500,100.312500,63.910774,4448500
2000-11-07,101.125000,103.500000,100.687500,102.312500,65.185028,5420600
2000-11-08,103.625000,103.750000,99.250000,100.000000,63.792744,6990800
2000-11-09,96.750000,100.000000,95.687500,99.437500,63.433865,9047900
2000-11-10,98.000000,98.375000,93.000000,93.000000,59.327213,6807900
2000-11-13,91.812500,99.437500,91.625000,97.437500,62.158020,8684900
2000-11-14,99.250000,99.875000,98.500000,99.500000,63.473755,5150900
2000-11-15,99.500000,100.062500,97.625000,99.375000,63.394009,4160300
2000-11-16,99.250000,99.687500,98.250000,98.250000,62.676331,3739700
2000-11-17,98.312500,102.500000,98.250000,101.937500,65.028702,7717400
2000-11-20,101.500000,103.250000,100.875000,103.250000,65.865974,7426600
2000-11-21,103.250000,104.375000,98.500000,98.500000,62.835804,7180700
2000-11-22,98.500000,100.812500,98.312500,98.500000,62.835804,5537100
2000-11-24,99.375000,101.750000,99.250000,99.937500,63.752823,2497500
2000-11-27,100.437500,102.000000,98.437500,98.437500,62.795940,3866200
2000-11-28,98.750000,100.750000,97.375000,97.875000,62.437134,4799100
2000-11-29,97.750000,99.937500,96.687500,99.812500,63.673096,5524600
2000-11-30,98.000000,98.000000,92.250000,93.500000,59.646152,10651400
2000-12-01,94.437500,99.312500,94.375000,95.625000,61.001812,7525100
2000-12-04,96.000000,99.187500,95.750000,98.375000,62.756065,5566800
2000-12-05,100.437500,104.750000,99.625000,103.375000,65.945702,7804200
2000-12-06,101.750000,101.812500,94.812500,96.750000,61.719463,10096900
2000-12-07,95.062500,95.937500,93.125000,93.125000,59.406971,7922000
2000-12-08,98.000000,99.000000,95.750000,97.000000,61.878941,6140600
2000-12-11,96.500000,98.250000,93.750000,95.000000,60.603073,6185600
2000-12-12,95.250000,96.125000,92.500000,93.875000,59.885410,7913300
2000-12-13,94.875000,96.625000,90.687500,91.250000,58.210838,6992600
2000-12-14,92.000000,93.687500,91.812500,92.437500,58.968395,6131400
2000-12-15,90.000000,90.687500,87.312500,87.812500,56.017982,14254500
2000-12-18,88.375000,90.500000,88.375000,90.500000,57.732418,7693800
2000-12-19,90.187500,94.437500,89.812500,90.125000,57.493195,7705300
2000-12-20,85.875000,88.000000,84.812500,86.000000,54.861759,12579400
2000-12-21,85.500000,87.937500,80.062500,81.562500,52.030918,12725500
2000-12-22,84.500000,89.375000,84.500000,89.000000,56.775505,9514000
2000-12-26,89.000000,89.562500,84.250000,84.812500,54.104191,6052300
2000-12-27,84.750000,88.125000,83.562500,84.687500,54.024437,8245100
2000-12-28,83.500000,88.187500,82.125000,85.250000,54.383293,9798600
2000-12-29,86.937500,86.937500,84.250000,85.000000,54.223801,6943700
2001-01-02,84.500000,87.500000,84.125000,84.812500,54.104191,8007200
2001-01-03,83.750000,95.000000,83.750000,94.625000,60.363861,12769900
2001-01-04,94.750000,99.750000,92.687500,93.187500,59.446819,15420500
2001-01-05,93.937500,94.687500,91.000000,94.000000,59.965141,8043200
2001-01-08,93.500000,93.937500,91.562500,93.562500,59.686066,6064800
2001-01-09,94.437500,95.750000,91.437500,92.562500,59.048119,7547100
2001-01-10,92.500000,94.937500,91.687500,93.437500,59.606300,7656100
2001-01-11,92.937500,94.250000,91.250000,93.687500,59.765762,9635000
2001-01-12,93.687500,96.437500,92.375000,93.812500,59.845531,6448000
2001-01-16,93.750000,94.000000,91.812500,92.750000,59.167755,5671900
2001-01-17,95.375000,97.750000,94.312500,96.687500,61.679577,9727000
2001-01-18,104.375000,110.000000,103.500000,108.312500,69.095505,25244900
2001-01-19,107.500000,113.937500,107.250000,111.250000,70.969360,14762200
2001-01-22,109.500000,109.937500,108.187500,108.562500,69.254951,9618500
2001-01-23,109.562500,109.937500,107.625000,109.062500,69.573944,9826900
2001-01-24,109.062500,111.437500,108.937500,110.437500,70.451073,6760900
2001-01-25,110.125000,111.125000,109.437500,110.750000,70.650429,4982100
2001-01-26,109.625000,115.250000,109.187500,114.187500,72.843292,9095200
2001-01-29,112.500000,115.500000,112.470001,114.980003,73.348869,5125000
2001-01-30,115.000000,116.750000,113.400002,116.610001,74.388687,8242000
2001-01-31,115.750000,116.750000,112.000000,112.000000,71.447861,8314200
2001-02-01,112.400002,114.339996,111.199997,114.050003,72.755608,5580800
2001-02-02,112.750000,113.989998,109.599998,110.269997,70.344215,5428400
2001-02-05,109.400002,112.599998,109.300003,112.220001,71.588188,5113700
2001-02-06,112.230003,115.690002,111.199997,114.190002,72.844894,7526400
2001-02-07,113.400002,117.599998,112.669998,116.910004,74.665062,9006900
2001-02-08,116.910004,118.199997,114.029999,114.099998,72.870445,8380800
2001-02-09,114.029999,114.989998,111.000000,112.000000,71.529251,6318800
2001-02-12,110.550003,115.720001,110.300003,114.900002,73.381363,6729300
